,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
1367,현대 제네시스 DH,201502,75018,2,3778,4,1,0,1,1,1,1,1,1,1,1,1,4,0,0,0,0,6,14851783,2,10506116,21490000,37,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163702&gubun=K
1369,현대 제네시스 BH380,200909,133570,2,3778,4,1,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,2,697550,1,120000,6900000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160809&gubun=K
1370,현대 제네시스 BH330,200811,139000,2,3342,3,1,0,1,1,0,1,0,1,0,1,1,3,0,0,0,0,3,3964790,0,0,4990000,12,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158678&gubun=K
1373,현대 제네시스 BH380,201006,118726,2,3778,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,7,6674066,2,965488,6500000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163598&gubun=K
1374,현대 제네시스 쿠페,201108,108722,2,1998,2,1,0,1,0,0,1,0,0,0,1,1,6,0,0,0,0,1,405350,1,375400,5490000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153622&gubun=K
1378,현대 제네시스 DH,201401,154770,2,3342,0,1,1,0,1,1,1,0,1,0,1,1,8,0,0,0,0,9,16780752,7,17672100,15500000,29,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162948&gubun=K
1379,현대 더 뉴,201203,172157,2,1998,1,1,0,1,0,1,1,0,1,0,0,1,5,0,0,0,0,1,759260,0,0,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161123&gubun=K
1381,현대 제네시스 DH,201403,160593,2,3342,5,0,0,1,1,0,1,0,1,0,1,1,4,0,0,0,0,2,598920,0,0,14500000,31,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162825&gubun=K
1382,현대 제네시스 DH,201506,125000,2,3342,1,1,1,1,1,1,1,0,1,0,1,1,5,0,0,0,0,2,23019248,1,754000,18500000,34,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2136444&gubun=K
1383,현대 제네시스 쿠페,201008,162000,2,3778,1,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,2,1912266,0,0,5990000,17,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156837&gubun=K
1384,현대 제네시스 GP500,201107,178000,2,5038,5,1,0,1,1,1,1,1,0,0,1,1,6,0,0,0,0,5,5455271,0,0,17000000,21,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163144&gubun=K
1385,현대 제네시스 DH,201401,94075,2,3778,4,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,20800000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149110&gubun=K
1393,현대 제네시스 BH330,201207,112000,2,3342,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,4,12400184,1,2479830,7200000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161053&gubun=K
1394,현대 제네시스 BH380,201203,95000,2,3778,1,1,0,1,1,1,1,0,1,0,1,1,8,1,0,0,0,4,61989960,2,3904543,7500000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163246&gubun=K
1412,현대 제네시스 DH,201608,90247,2,3342,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,4,6400856,1,1166198,17490000,37,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160333&gubun=K
1413,현대 제네시스 DH,201411,151841,2,3342,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,4,3650724,0,0,15400000,33,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162597&gubun=K
1414,현대 제네시스 쿠페,200902,97002,2,1998,0,1,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,5,4418948,1,673680,5200000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162958&gubun=K
1417,현대 제네시스 DH,201601,119000,2,3342,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3816814,1,933060,18600000,40,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160441&gubun=K
1418,현대 제네시스 쿠페,200912,160425,2,1998,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,1401678,2,1537898,5300000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156801&gubun=K
1419,현대 제네시스 DH,201401,129849,2,3778,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,4,31392967,3,41539742,18900000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160159&gubun=K
1430,현대 제네시스 쿠페,201001,160241,2,1998,2,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,6,3623852,1,646185,6700000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159958&gubun=K
1459,현대 팰리세이드 3.8,202012,7141,2,3778,5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,1561150,2,2162921,36900000,79,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159079&gubun=K
1463,현대 팰리세이드 3.8,202007,31130,2,3778,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43190000,93,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2150611&gubun=K
1464,현대 팰리세이드 2.2,202001,38163,0,2199,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,615569,2,3572498,39990000,90,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161667&gubun=K
1468,현대 팰리세이드 3.8,202004,13400,0,3778,5,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,412580,41300000,96,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158330&gubun=K
1469,현대 팰리세이드 3.8,201903,112746,2,3778,5,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,30800000,76,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161064&gubun=K
1470,현대 팰리세이드 2.2,202004,26500,0,2199,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,41300000,93,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159490&gubun=K
1472,현대 팰리세이드 2.2,201905,37185,0,2199,2,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,29840000,1,5830000,38400000,87,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159276&gubun=K
1479,현대 팰리세이드 3.8,202012,7141,2,3778,5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,1561150,2,2162921,36900000,79,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159079&gubun=K
1483,현대 팰리세이드 3.8,202007,31130,2,3778,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43190000,93,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2150611&gubun=K
1484,현대 팰리세이드 2.2,202001,38163,0,2199,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,615569,2,3572498,39990000,90,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161667&gubun=K
1488,현대 팰리세이드 3.8,202004,13400,0,3778,5,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,412580,41300000,96,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158330&gubun=K
1489,현대 팰리세이드 3.8,201903,112746,2,3778,5,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,30800000,76,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161064&gubun=K
1490,현대 팰리세이드 2.2,202004,26500,0,2199,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,41300000,93,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159490&gubun=K
1492,현대 팰리세이드 2.2,201905,37185,0,2199,2,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,29840000,1,5830000,38400000,87,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159276&gubun=K
