,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
1194,제네시스 EQ900 3.8,201802,43723,2,3778,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,52900000,59,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158332&gubun=K
1195,제네시스 EQ900 3.8,201801,115893,2,3778,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,2637368,0,0,38900000,52,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160071&gubun=K
1196,제네시스 EQ900 3.8,201712,85586,2,3778,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,42900000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161139&gubun=K
1197,제네시스 EQ900 3.8,201805,96821,2,3778,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,938130,1,717760,43990000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161147&gubun=K
1198,제네시스 EQ900 3.8,201806,111954,2,3778,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1250570,41900000,46,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161867&gubun=K
1199,현대 YF쏘나타 2.0,201011,85000,2,1998,2,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,773740,1,428798,5900000,24,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163285&gubun=K
1200,현대 쏘나타 1.6,202010,8675,2,1598,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,26500000,97,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162732&gubun=K
1201,현대 LF쏘나타 2.0,201409,332907,1,1999,3,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4650000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2152935&gubun=K
1203,현대 YF쏘나타 ,201210,91040,2,1999,5,0,0,1,1,0,1,0,1,0,1,1,3,0,0,0,0,5,5163229,1,411370,6900000,24,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161419&gubun=K
1205,현대 쏘나타 뉴,201705,154292,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,657470,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154650&gubun=K
1206,현대 쏘나타 뉴,201804,153908,1,1999,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,2396178,0,0,11990000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155257&gubun=K
1207,현대 쏘나타 뉴,201901,99202,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,11990000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157036&gubun=K
1208,현대 쏘나타 뉴,201704,140261,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158469&gubun=K
1209,현대 쏘나타 뉴,201705,154190,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158670&gubun=K
1211,현대 쏘나타 뉴,201705,147190,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,2,1284577,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159693&gubun=K
1212,현대 쏘나타 뉴,201705,206047,1,1999,3,0,0,1,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,11990000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160051&gubun=K
