,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
89,89,현대 그랜드스타렉스  캠핑카 -   ,차량번호 79루8694,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158119&gubun=K,2013.05,"39,000 km",디젤,"2,497 cc (174마력)",은색,불가,"3,950만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
90,90,현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 2WD   ,차량번호 98모3328,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158118&gubun=K,2019.06,"11,000 km",디젤,"2,497 cc (175마력)",흰색,불가,[계약],준비중,,,,,,,,,,,미등록,,,,,,,,,
91,91,현대 더 뉴 그랜드스타렉스  2.5 디젤 밴 3인승 스타일  ,차량번호 87오4752,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157067&gubun=K,2018.05 (19년형),"84,000 km",디젤,"2,497 cc (175마력)",은색,불가,"1,980만원",86,무,무,무,무,무,유,무,유,무,무,미등록,,,,,,,,,
92,92,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD CVX 럭셔리   ,차량번호 75저6038,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157576&gubun=K,2012.11 (13년형),"154,210 km",디젤,"2,497 cc (175마력)",노란색,불가,[계약],준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
93,93,현대 그랜드스타렉스 2.5 디젤 왜건 11인승 2WD 모던,차량번호 76나1344,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156978&gubun=K,2016.02,"96,000 km",디젤,"2,497 cc (175마력)",검정색,불가,"3,950만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
94,94,현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 2WD   ,차량번호 99거1883,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156060&gubun=K,2020.05,"16,000 km",디젤,"2,497 cc (175마력)",흰색,정보없음,"6,590만원",준비중,무,무,유,무,유,유,무,유,무,무,미등록,,,,,,,,,
95,95,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD CVX 럭셔리   ,차량번호 70소9911,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2127380&gubun=K,2016.05 (17년형),"28,300 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,750만원",준비중,유,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
96,96,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD CVX 럭셔리   ,차량번호 73너5774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155607&gubun=K,2012.01,"147,320 km",디젤,"2,497 cc (175마력)",노란색,불가,[계약],준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
97,97,현대 그랜드스타렉스  캠핑카 -   ,차량번호 74주6242,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154607&gubun=K,2011.05,"177,730 km",디젤,"2,497 cc (174마력)",회색,불가,[계약],준비중,유,무,유,무,무,무,무,무,무,무,미등록,,,,,,,,,
98,98,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD CVX 럭셔리   ,차량번호 77루6650,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154469&gubun=K,2014.04 (15년형),"111,343 km",디젤,"2,497 cc (175마력)",검정투톤,불가,"1,320만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
99,99,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD CVX 럭셔리   ,차량번호 70가7897,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154025&gubun=K,2013.05,"70,000 km",디젤,"2,497 cc (175마력)",노란색,불가,[계약],준비중,무,무,유,무,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,1.0,"500,000",2.0,"3,336,570"
100,100,현대 아반떼AD  1.6 e-VGT 스마트 ,차량번호 52모0953,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2148464&gubun=K,2016.04,"88,221 km",디젤,"1,582 cc (136마력)",빨간색,만료,"1,120만원",56,유,무,유,무,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,3.0,"2,228,617",3.0,"2,249,251"
101,101,현대 아반떼AD 1.6 모던 스페셜,차량번호 179주9180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160060&gubun=K,2016.01,"58,107 km",가솔린,"1,591 cc (132마력)",흰색,만료,950만원,46,무,무,유,무,무,유,무,유,무,유,등록,5.0,0.0,0.0,0.0,0.0,3.0,"9,810,872",2.0,"7,604,708"
102,102,현대 아반떼AD 1.6 밸류 플러스,차량번호 56서4834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161376&gubun=K,2017.08 (18년형),"73,879 km",가솔린,"1,591 cc (132마력)",흰색,"60개월 / 100,000km",850만원,50,무,무,유,무,무,유,무,유,무,유,등록,2.0,0.0,0.0,0.0,0.0,6.0,"11,788,411",3.0,"4,478,871"
103,103,현대 아반떼MD 1.6 M16 스마트,차량번호 36수8738,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162608&gubun=K,2012.12 (13년형),"90,187 km",가솔린,"1,591 cc (140마력)",검정색,만료,590만원,34,유,무,유,무,무,무,무,유,무,무,등록,6.0,0.0,0.0,0.0,0.0,8.0,"4,924,005",2.0,"1,817,270"
104,104,현대 아반떼MD 1.6 M16 럭셔리,차량번호 18오2743,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163043&gubun=K,2011.10,"71,421 km",가솔린,"1,591 cc ()",흰색,만료,630만원,41,,,,,,,,,,,등록,,,,,,,,,
105,105,현대 더 뉴 아반떼 1.6 LPi 스마트,차량번호 43러6196,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163206&gubun=K,2014.01,"93,226 km",LPG,"1,591 cc (120마력)",회색,정보없음,599만원,준비중,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
106,106,현대 아반떼AD 1.6 디젤  프리미엄,차량번호 01수3164,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163406&gubun=K,2017.03,"103,344 km",디젤,"1,582 cc (136마력)",흰색,만료,999만원,41,,,,,,,,,,,등록,5.0,0.0,0.0,0.0,0.0,1.0,"349,000",2.0,"3,652,456"
107,107,현대 아반떼MD 1.6  M16 럭셔리,차량번호 24고2153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158417&gubun=K,2012.07,"98,397 km",가솔린,"1,591 cc ()",진회색,만료,499만원,32,,,,,,,,,,,등록,2.0,0.0,0.0,0.0,0.0,2.0,"8,695,454",0.0,0
108,108,현대 아반떼AD 1.6 디젤  프리미엄,차량번호 34모3442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160609&gubun=K,2017.12 (18년형),"90,276 km",디젤,"1,582 cc (136마력)",흰색,"60개월 / 100,000km","1,090만원",44,,,,,,,,,,,등록,3.0,0.0,0.0,0.0,0.0,3.0,"9,209,122",2.0,"21,358,025"
109,109,현대 아반떼MD 1.6  M16 에비뉴,차량번호 27도2237,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161447&gubun=K,2013.02,"35,038 km",가솔린,"1,591 cc (140마력)",은색,만료,950만원,53,유,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
110,110,현대 아반떼AD 1.6 프리미엄,차량번호 55모6878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149862&gubun=K,2015.10 (16년형),"59,571 km",가솔린,"1,591 cc (132마력)",은색,만료,"1,410만원",66,무,무,유,유,무,유,무,유,무,무,등록,0.0,0.0,0.0,0.0,0.0,4.0,"1,921,376",2.0,"2,555,430"
111,111,현대 아반떼MD 1.6  M16 프리미어,차량번호 13버6733,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160557&gubun=K,2012.01,"125,799 km",가솔린,"1,591 cc (140마력)",회색,만료,650만원,35,무,무,유,유,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,4.0,"3,954,029",0.0,0
